epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,1100.57,0.96449,0.46351,0.88342,0.91641,0.88317,0.92904,0.57341,1.09782,0.48048,0.91492,0.0083467,0.0083467,0.0083467
169,1106.99,0.95997,0.46273,0.87771,0.91519,0.86092,0.91478,0.55459,1.12026,0.49037,0.91693,0.0083368,0.0083368,0.0083368
170,1113.38,0.95565,0.46278,0.88546,0.91417,0.89013,0.93932,0.57315,1.1153,0.47503,0.91803,0.0083269,0.0083269,0.0083269
171,1119.83,0.9612,0.46805,0.8845,0.91218,0.90821,0.93591,0.57136,1.1242,0.47304,0.91764,0.008317,0.008317,0.008317
172,1126.28,0.96893,0.46697,0.88621,0.90066,0.9079,0.94459,0.58301,1.08362,0.46466,0.90998,0.0083071,0.0083071,0.0083071
173,1132.7,0.9549,0.46282,0.88208,0.90644,0.90276,0.93714,0.58018,1.09904,0.47566,0.90979,0.0082972,0.0082972,0.0082972
174,1139.11,0.96431,0.47331,0.88624,0.90771,0.91651,0.93813,0.5791,1.10096,0.48047,0.91667,0.0082873,0.0082873,0.0082873
175,1145.52,0.95209,0.46361,0.88401,0.88976,0.89802,0.93317,0.5854,1.07938,0.46949,0.91035,0.0082774,0.0082774,0.0082774
176,1151.95,0.94773,0.45733,0.88612,0.89811,0.90125,0.93976,0.56578,1.11884,0.47316,0.91689,0.0082675,0.0082675,0.0082675
177,1158.38,0.96807,0.46471,0.88278,0.92012,0.89716,0.94597,0.58692,1.09028,0.46882,0.91293,0.0082576,0.0082576,0.0082576
178,1164.86,0.93913,0.46372,0.88234,0.90598,0.89793,0.94195,0.56542,1.11848,0.47026,0.92407,0.0082477,0.0082477,0.0082477
179,1171.25,0.95462,0.46651,0.88546,0.91242,0.89839,0.9388,0.56929,1.09777,0.4706,0.91432,0.0082378,0.0082378,0.0082378
180,1177.7,0.93427,0.45293,0.88414,0.92504,0.87527,0.93506,0.5654,1.11689,0.47625,0.92087,0.0082279,0.0082279,0.0082279
181,1184.13,0.94453,0.4547,0.88787,0.91256,0.88538,0.94005,0.57712,1.11504,0.47314,0.91521,0.008218,0.008218,0.008218
